mRNA levels of 464 genes that differentially expressed during RGC ageing ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two sided p value and adjusted p value (q value) were given by the exact test of the edgeR Bioconductor package,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gene selection criteria for Fig. 4c, 4d and 9i: genes significantly changed during ageing (q < 0.05, absolute log2 fold-change > 1), not low expressed (log2(CPM) > - 2) or altered by mock AAV infection (Old vs Old (-OSK), q > 0.1).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gene,length,5 mo_rep1,5 mo_rep2,5 mo_rep3,5 mo_rep4,5 mo_rep5,12 mo_rep1,12 mo_rep2,12 mo_rep3,12 mo_rep4,12 mo_rep5,12 mo_rep6,12 mo (-OSK)_rep1,12 mo (-OSK)_rep2,12 mo (-OSK)_rep3,12 mo (-OSK)_rep4,12 mo (-OSK)_rep5,12 mo (+OSK)_rep1,12 mo (+OSK)_rep2,12 mo (+OSK)_rep3,12 mo(+OSK)_rep4,,logCPM,AAV effect,logFC (12 mo (-OSK)/12 mo),PValue,QValue, Ageing,logFC (12m/5m),PValue,QValue,OSK,logFC (12 mo (+OSK)/12 mo (-OSK)),PValue,QValue
Cadm3,107,2.428894308,2.103430957,4.628520466,3.455838551,3.412219555,8.165662312,7.665594023,7.764590673,4.978291632,8.855059609,6.777397229,7.391545983,8.804483051,11.12438141,8.904884467,8.356348523,2.592952641,2.349996683,4.193701402,2.967916666,,5.384938487,,0.177102154,0.326784704,0.84106559,,1.160469301,5.38E-10,2.81E-07,,-1.449471344,4.63E-12,2.70E-10
Prickle2,1887,1.821677248,1.790833076,3.28474208,4.209694843,3.772184994,6.225785454,5.465519874,6.209016829,5.316819113,6.976070053,6.57838505,6.329591105,6.284632045,5.904304499,6.130656275,6.620747407,2.918027318,2.148505158,2.861017005,2.704579061,,5.325091756,,-0.062823359,0.734017797,1,,1.006836667,6.67E-08,1.40E-05,,-1.121098043,6.90E-08,1.55E-06
Ackr1,3614,16.54791088,9.236498971,19.21606259,13.11462953,23.66514332,30.14715636,33.27818705,55.24201423,19.6879675,34.72868527,31.20911706,26.19456008,38.47522312,76.67968183,37.69176117,33.49239063,11.64486192,20.88931502,15.30400344,14.57520173,,5.279200293,,0.209761354,0.413975418,0.980551008,,1.020174332,0.000116771,0.005430436,,-1.29767782,1.24E-05,0.000156743
Slc24a2,10099,1.061064601,1.023369279,1.51823786,1.244290329,1.557210151,3.580514823,3.834700041,3.142844226,2.45178053,3.246335151,3.213188976,2.820665631,4.303668891,6.007636507,3.708372697,2.857989758,0.757449535,0.760806051,1.57159648,1.464754399,,4.914263185,,0.17352033,0.388407303,0.939624434,,1.303971295,4.85E-10,2.58E-07,,-1.682355137,9.84E-13,6.58E-11
Hcn3,1418,2.88908361,3.64471864,5.03475773,5.114960058,4.319572105,9.414034105,8.310642431,11.19744015,6.992618911,10.6588294,10.76057218,8.063358208,8.026232436,7.858827151,8.793806051,7.823071658,3.536720761,2.590263013,3.186350789,3.064130148,,4.762317193,,-0.32804743,0.038155689,0.166017294,,1.14674797,1.52E-12,2.80E-09,,-1.273430831,2.51E-12,1.55E-10
Pcdhac2,739,1.05818883,2.53552115,2.080990354,2.865379779,2.254393365,5.277576183,6.107152101,3.530699845,4.498818141,8.101524229,6.85484363,8.029758627,5.638967648,7.348500134,9.735592533,7.58889768,2.114410241,2.325122726,2.052502693,2.313314104,,4.747952698,,0.325569891,0.136869765,0.458894322,,1.371370979,2.15E-09,8.22E-07,,-1.676093398,6.34E-11,2.85E-09
Eid2,3973,25.59440663,24.40592292,31.84022467,28.17022069,35.53414847,19.50734012,9.986811114,7.68395417,7.542873793,7.880688967,16.77383051,18.0552293,32.09082271,19.80122028,8.291988522,10.36123811,9.594787122,12.56511946,27.77440476,23.48412663,,4.719867457,,0.528462297,0.089941625,0.333000719,,-1.370842736,1.25E-05,0.000960483,,0.137372287,0.68706902,1
Elfn2,57,1.654709638,1.924918615,1.70838509,2.491503762,1.972118039,4.084080074,4.187172462,3.969168619,3.705621114,4.809564495,4.162859004,4.044130739,4.474913809,5.723276295,4.913485121,4.895027292,1.828727495,1.247403119,1.393045707,1.626982146,,4.703156763,,0.111762853,0.421024712,0.991275413,,1.05457826,2.61E-13,8.51E-10,,-1.53216949,3.74E-21,2.25E-18
Abhd17c,1848,6.010059364,6.768807302,6.384474793,6.788256884,6.768157469,5.563265824,2.977917033,2.34601985,2.117566249,2.500202586,4.459871423,6.015175401,7.680340272,5.944453711,3.284965228,3.002496444,6.689984813,4.75167203,11.11983429,9.626146566,,4.678282335,,0.55211107,0.032539112,0.145986787,,-1.016931041,8.51E-05,0.004238888,,0.725950102,0.010786624,0.049473111
Epha10,1043,1.787811466,1.764785561,2.111391006,2.645676029,2.808867624,5.222638718,3.801531498,4.233411422,3.94333211,6.86272795,5.992271458,3.88417247,4.833527926,3.444770407,4.848688932,3.484598876,1.920175134,2.084695523,2.113288754,2.144996575,,4.650724179,,-0.378574762,0.033676724,0.150008338,,1.133496631,4.82E-10,2.58E-07,,-0.871305125,1.54E-05,0.000190427
Plxna4,8663,0.36470214,0.710707172,1.207350624,1.094222551,1.29684474,2.057624588,1.731585441,2.053580853,1.681738069,2.703092222,1.939092864,2.697576367,2.541166706,3.022545688,3.010139676,2.543752463,0.957175287,1.220727795,1.012723058,0.799289568,,4.595839938,,0.352140973,0.111514469,0.393498864,,1.080335181,2.40E-06,0.000246849,,-1.339655094,1.63E-07,3.35E-06
Gabrd,426,2.661692903,1.944986627,4.967280921,4.726683542,3.955278084,9.245404106,10.8473095,12.40123386,4.912673202,11.70585105,8.7723507,13.55229731,9.586307831,17.27931765,15.00649813,14.79591645,4.612363157,8.02666581,3.930569314,4.508952313,,4.572442762,,0.444628207,0.077384858,0.295572879,,1.361925256,2.24E-07,3.68E-05,,-1.265955474,1.29E-05,0.000163408
Nipal2,790,1.117659307,1.385135762,1.547173918,1.566149545,2.372378153,4.064106025,3.502827257,3.448812014,2.265457546,3.974284358,3.825880278,4.31173553,3.370330457,4.87890267,4.428379123,4.030546595,1.606280757,1.412481152,1.61391153,1.537404263,,4.56457007,,0.163599466,0.33401942,0.853730313,,1.099470755,4.04E-10,2.24E-07,,-1.325156446,1.48E-11,7.72E-10
Galnt18,3958,3.329057785,1.700393602,4.774804849,5.814046319,5.037361804,12.73608175,10.29351287,9.095781759,4.657095406,13.82143295,11.36345368,18.02183701,11.63699191,14.15371784,14.01831802,14.32181087,4.001225844,6.3479497,4.043108537,4.760665671,,4.470518251,,0.396554122,0.124709732,0.427977259,,1.281825873,1.95E-06,0.000207422,,-1.461973453,1.13E-06,1.87E-05
Tmem132a,492,1.038969248,1.29911073,1.792985278,3.507047805,1.96792713,6.191327747,7.213692376,5.885573069,2.953180112,5.839080664,5.76984105,9.516677758,7.005541755,10.0069246,8.326650121,8.249263352,2.642996769,2.959847725,3.025344598,3.407986714,,4.467673772,,0.516758271,0.027557719,0.126909522,,1.518828325,8.17E-10,3.80E-07,,-1.398212987,2.62E-07,5.08E-06
Sgpp2,315,2.434577156,2.702249095,4.296919283,4.215731169,3.889417285,8.421723691,6.345243467,8.29216013,6.965213849,8.855891281,9.352004972,7.141151021,4.645066425,5.94923273,7.669515519,7.15079394,2.884395632,2.379735804,3.137427613,3.145300319,,4.454233253,,-0.39580487,0.022315801,0.106417813,,1.158440075,6.42E-11,5.15E-08,,-1.061082156,7.85E-08,1.74E-06
P2ry12,314,3.547644205,4.081844257,3.783696719,4.048340231,3.515370222,5.407830169,4.768565018,9.1993865,9.524953137,14.31030234,10.62423963,12.77702591,12.02382233,9.117678182,10.3236161,12.19029794,9.554947921,6.366303763,14.01411034,13.76210406,,4.45286851,,0.243234911,0.291225761,0.778359707,,1.201149886,5.50E-07,7.63E-05,,0.045468322,0.856180048,1
Tmem132d,132,1.232355625,1.636072856,2.340411901,2.54101006,2.628532335,6.660927163,4.025419906,4.045528499,5.180937799,4.495802543,4.62643257,2.708172094,4.338149534,3.214430753,4.349028367,3.605717904,1.435189133,1.010267798,2.841451183,3.224945642,,4.416153184,,-0.504023319,0.037823425,0.164882723,,1.184710559,1.67E-06,0.00018571,,-0.684169767,0.011897248,0.053468052
Eps8l1,527,4.357587538,4.396097918,6.41889062,7.679430636,4.64178369,3.746285449,3.155276386,0.872391432,0.92714982,2.623328037,2.332265048,2.656630248,2.436244372,1.744670043,2.463745691,4.189134848,2.750087806,2.685322959,4.333714832,5.166819113,,4.407298661,,0.159504055,0.602712634,1,,-1.314374237,2.23E-05,0.001528919,,0.566444878,0.096610017,0.266458757
Slitrk3,3685,2.0873605,2.698594762,4.314023022,3.325659587,2.416939632,6.380146123,5.113708727,5.668452406,5.848693616,7.617658042,6.55325597,5.013580334,4.912330496,3.588853122,6.010131184,6.006505436,2.597513798,1.520567693,2.417268899,3.332730842,,4.403332341,,-0.368484559,0.070006416,0.273196944,,1.021431927,7.98E-07,0.000102895,,-0.943977567,4.14E-05,0.000452648
St3gal3,7055,2.114981904,3.144607615,6.090412113,3.786061593,4.170655316,8.048385811,10.44631988,7.985982427,4.544182527,7.836578711,9.049995228,12.25025681,7.501069947,10.38791189,8.371154744,9.266890614,3.739471224,7.245202342,7.919312747,3.834835707,,4.247160517,,0.166437696,0.504857113,1,,1.010818301,9.32E-05,0.004542869,,-0.634805157,0.025416182,0.097017308
Siglech,4136,3.226140042,2.261073124,2.372965771,1.208477931,2.300539163,2.5295309,3.246318784,6.469344638,4.143464297,8.37809459,8.963686796,5.174613237,6.151109752,7.037785807,6.977137971,6.691808212,5.879638225,4.831797363,10.22207396,8.580071096,,4.165768273,,0.09021385,0.743374499,1,,1.263363243,1.28E-05,0.000973179,,0.305752898,0.318107158,0.622664839
Gfra2,415,1.937795716,2.027248319,3.151833265,4.864889704,1.734869872,7.213560029,7.699128708,4.479264105,3.795157714,6.465937637,6.285216869,9.127034237,7.52635815,7.69787939,10.63957447,8.460325721,2.102618994,1.850111782,2.527872148,2.481792416,,4.160426202,,0.44435122,0.055825244,0.227749711,,1.08861649,6.78E-06,0.00058455,,-1.845067435,2.17E-11,1.09E-09
P4ha2,3078,0.871310751,0.845538949,1.469550852,1.421307697,2.231516023,3.409839844,3.535385558,4.167280615,2.426125177,3.866628364,3.312992287,3.807417263,3.33534289,4.425242001,4.164339732,3.423691892,1.26149492,1.423735252,1.132031052,1.287317087,,4.004518511,,0.054224877,0.787637562,1,,1.299724638,7.57E-10,3.65E-07,,-1.45517178,7.50E-10,2.67E-08
Chrna4,6810,1.199031216,1.712219739,2.162202104,2.832061093,2.074910926,4.873962781,5.001121373,4.412594777,2.950379881,4.526889759,5.01353602,3.979856982,4.456681657,3.929481614,4.760308393,3.798948274,1.624186699,1.239951488,1.520952687,1.477694945,,3.991580502,,-0.186201181,0.314038652,0.8179223,,1.125417936,2.89E-09,1.01E-06,,-1.396751067,7.25E-11,3.21E-09
Crls1,1258,10.22308009,9.552328041,9.781516317,7.854526108,16.7799151,7.301891084,3.894952269,4.531449157,1.894352715,3.051689851,4.187668325,6.907462401,11.94935629,6.883325572,3.052272303,2.806034791,4.582113241,4.222435242,14.02145333,11.32471813,,3.921986433,,0.526956005,0.139237066,0.464831904,,-1.427193802,6.95E-05,0.003664585,,0.509350357,0.194601246,0.443551382
